교육명,검색어_원본,검색어_개선,개선_단어수,개선율
경계선지능아동지도사 양육자교육,경계선지능아동지도사 양육자교육,경계선지능아동지도사 양육자교육,2,1.0
다함께돌봄센터 종사자 필수교육(기존돌봄선생님),다함께돌봄센터 종사자 필수교육(기존돌봄선생님),다함께 돌봄센터 종사자 필수교육 기존돌봄선생님,5,1.6666666666666667
다함께돌봄센터 종사자 필수교육(기존센터장),다함께돌봄센터 종사자 필수교육(기존센터장),다함께 돌봄센터 종사자 필수교육 기존센터장,5,1.6666666666666667
다함께돌봄센터 종사자 필수교육(신규돌봄선생님),다함께돌봄센터 종사자 필수교육(신규돌봄선생님),다함께 돌봄센터 종사자 필수교육 신규돌봄선생님,5,1.6666666666666667
다함께돌봄센터 종사자 필수교육(신규센터장),다함께돌봄센터 종사자 필수교육(신규센터장),다함께 돌봄센터 종사자 필수교육 신규센터장,5,1.6666666666666667
보건복지상담센터 상담사교육,보건복지상담센터 상담사교육,보건복지 상담센터 상담사교육,3,1.5
보호대상아동 공공후견제도 및 실무이해,보호대상아동 공공후견제도 및 실무이해,보호대상아동 공공후견제도 실무이해,3,0.75
사례로 보는 아동복지 실천현장에서의 인권,사례로 보는 아동복지 실천현장에서의 인권,사례로 보는 아동복지 실천현장 에서 인권,6,1.2
신설아동보호전문기관교육,신설아동보호전문기관교육,신설아동보호전문기관교육,1,1.0
"아동, 권리를 만나다","아동, 권리를 만나다","아동, 권리를 만나다",3,1.0
아동발달 얼마나 알고 계신가요?,아동발달 얼마나 알고 계신가요?,아동발달 얼마나 알고 계신가요?,4,1.0
아동복지론,아동복지론,아동복지론,1,1.0
아동상담의 첫걸음,아동상담의 첫걸음,아동상담의 첫걸음,2,1.0
아동보호서비스 바로알기,아동보호서비스 바로알기,아동보 호서비스 바로알기,3,1.5
아동학대전담공무원 입문과정(이론교육),아동학대전담공무원 입문과정(이론교육),아동학 대전담 공무원 입문 이론교육,5,2.5
아동학대전담공무원 기본교육,아동학대전담공무원 기본교육,아동학 대전담 공무원 기본교육,4,2.0
어린이삼킴·이물질사고예방을 위한 보호자교육,어린이삼킴·이물질사고예방을 위한 보호자교육,어린이삼킴·이물질사고예방을 위한 보호자교육,3,1.0
어린이생활안전교육(가정편),어린이생활안전교육(가정편),어린이생활안전교육 가정편,2,2.0
어린이생활안전교육(발달단계별),어린이생활안전교육(발달단계별),어린이생활안전교육 발달단계별,2,2.0
어린이생활안전교육(실외편),어린이생활안전교육(실외편),어린이생활안전교육 실외편,2,2.0
어린이화상안전·인식개선교육,어린이화상안전·인식개선교육,어린이화상안전·인식개선교육,1,1.0
어린이 화상사고 예방을 위한 보호자교육,어린이 화상사고 예방을 위한 보호자교육,어린이 화상사고 예방을 위한 보호자교육,5,1.0
온라인 학습자료를 활용한영유아아동안전교육,온라인 학습자료를 활용한영유아아동안전교육,온라인 학습자료를 활용한영유아아동안전교육,3,1.0
영유아를 위한 보건위생관리교육,영유아를 위한 보건위생관리교육,영유아를 위한 보건위생관리교육,3,1.0
영유아를 위한 실종·유괴예방·방지교육,영유아를 위한 실종·유괴예방·방지교육,영유아를 위한 실종·유괴예방·방지교육,3,1.0
영유아를 위한 성폭력예방교육,영유아를 위한 성폭력예방교육,영유아를 위한 성폭력예방교육,3,1.0
영유아를 위한 아동학대예방교육,영유아를 위한 아동학대예방교육,영유아를 위한 아동학대 예방교육,4,1.3333333333333333
영유아를 위한 응급처치 및 생활안전교육,영유아를 위한 응급처치 및 생활안전교육,영유아를 위한 응급처치 생활안전교육,4,0.8
영유아를 위한 재난대비안전교육,영유아를 위한 재난대비안전교육,영유아를 위한 재난대비안전교육,3,1.0
영유아를 위한 교통안전교육,영유아를 위한 교통안전교육,영유아를 위한 교통안전교육,3,1.0
워크북을 활용한 아동안전교수법-교통안전교육,워크북을 활용한 아동안전교수법-교통안전교육,워크북을 활용한 아동안 전교수법 교통안전교육,5,1.6666666666666667
워크북을 활용한 아동안전교수법-보건위생관리교육,워크북을 활용한 아동안전교수법-보건위생관리교육,워크북을 활용한 아동안 전교수법 보건위생관리교육,5,1.6666666666666667
워크북을 활용한 아동안전교수법-성폭력예방교육,워크북을 활용한 아동안전교수법-성폭력예방교육,워크북을 활용한 아동안 전교수법 성폭력예방교육,5,1.6666666666666667
워크북을 활용한 아동안전교수법-실종·유괴예방·방지교육,워크북을 활용한 아동안전교수법-실종·유괴예방·방지교육,워크북을 활용한 아동안 전교수법 실종·유괴예방·방지교육,5,1.6666666666666667
워크북을 활용한 아동안전교수법-아동학대예방교육,워크북을 활용한 아동안전교수법-아동학대예방교육,워크북을 활용한 아동안 전교수법 아동학대 예방교육,6,2.0
워크북을 활용한 아동안전교수법-재난대비안전교육,워크북을 활용한 아동안전교수법-재난대비안전교육,워크북을 활용한 아동안 전교수법 재난대비안전교육,5,1.6666666666666667
어린이집 지도점검 담당자업무매뉴얼교육,어린이집 지도점검 담당자업무매뉴얼교육,어린이집 지도점검 담당자업무 매뉴얼교육,4,1.3333333333333333
지역아동센터에서의 아동권리교육,지역아동센터에서의 아동권리교육,지역아동센터 에서 아동권 리교육,4,2.0
중대재해처벌법의 이해,중대재해처벌법의 이해,중대재해처벌법의 이해,2,1.0
중·고등학생을 위한 마약류 및 약물예방교육,중·고등학생을 위한 마약류 및 약물예방교육,중·고등학생을 위한 마약류 약물예방교육,4,0.8
중·고등학생을 위한 사례로 배우는 마약류 및 약물예방교육,중·고등학생을 위한 사례로 배우는 마약류 및 약물예방교육,중·고등학생을 위한 사례로 배우는 마약류 약물예방교육,6,0.8571428571428571
초등학생을 위한 마약류 및 약물예방교육,초등학생을 위한 마약류 및 약물예방교육,초등학생을 위한 마약류 약물예방교육,4,0.8
초등학생을 위한 사례로 배우는 마약류 및 약물예방교육,초등학생을 위한 사례로 배우는 마약류 및 약물예방교육,초등학생을 위한 사례로 배우는 마약류 약물예방교육,6,0.8571428571428571
초등학생 종사자를 위한성폭력안전교수법,초등학생 종사자를 위한성폭력안전교수법,초등학생 종사자를 위한성폭력안전교수법,3,1.0
초등학생 종사자를 위한아동학대안전교수법,초등학생 종사자를 위한아동학대안전교수법,초등학생 종사자를 위한아동학대안전교수법,3,1.0
초등학생 종사자를 위한 실종·유괴의 예방·방지 안전 교수법,초등학생 종사자를 위한 실종·유괴의 예방·방지 안전 교수법,초등학생 종사자를 위한 실종·유괴의 예방·방지 안전 교수법,7,1.0
초등학생 종사자를 위한보건위생관리 안전 교수법,초등학생 종사자를 위한보건위생관리 안전 교수법,초등학생 종사자를 위한보건위생관리 안전 교수법,5,1.0
초등학생 종사자를 위한재난대비 안전 교수법,초등학생 종사자를 위한재난대비 안전 교수법,초등학생 종사자를 위한재난대비 안전 교수법,5,1.0
초등학생 종사자를 위한교통안전 교수법,초등학생 종사자를 위한교통안전 교수법,초등학생 종사자를 위한교통안전 교수법,4,1.0
초등학생 종사자를 위한 응급처치 및 심폐소생술,초등학생 종사자를 위한 응급처치 및 심폐소생술,초등학생 종사자를 위한 응급처치 심폐소생술,5,0.8333333333333334
중·고등학생 종사자를 위한성폭력 예방 안전 교수법,중·고등학생 종사자를 위한성폭력 예방 안전 교수법,중·고등학생 종사자를 위한성폭력 예방 안전 교수법,6,1.0
중·고등학생 종사자를 위한 아동학대 예방 안전 교수법,중·고등학생 종사자를 위한 아동학대 예방 안전 교수법,중·고등학생 종사자를 위한 아동학대 예방 안전 교수법,7,1.0
중·고등학생 종사자를 위한 실종·유괴의 예방·방지 안전 교수법,중·고등학생 종사자를 위한 실종·유괴의 예방·방지 안전 교수법,중·고등학생 종사자를 위한 실종·유괴의 예방·방지 안전 교수법,7,1.0
중·고등학생 종사자를 위한 보건위생관리 안전 교수법,중·고등학생 종사자를 위한 보건위생관리 안전 교수법,중·고등학생 종사자를 위한 보건위생관리 안전 교수법,6,1.0
중·고등학생 종사자를 위한 재난대비 안전 교수법,중·고등학생 종사자를 위한 재난대비 안전 교수법,중·고등학생 종사자를 위한 재난대비 안전 교수법,6,1.0
중·고등학생 종사자를 위한 교통안전 교수법,중·고등학생 종사자를 위한 교통안전 교수법,중·고등학생 종사자를 위한 교통안전 교수법,5,1.0
중·고등학생 종사자를 위한 응급처치 및 심폐소생술,중·고등학생 종사자를 위한 응급처치 및 심폐소생술,중·고등학생 종사자를 위한 응급처치 심폐소생술,5,0.8333333333333334
청소년부모교육_기본편,청소년부모교육_기본편,청소년부모교육 기본편,2,2.0
청소년부모교육_심화편,청소년부모교육_심화편,청소년부모교육 심화편,2,2.0
ADHD 아동 지도방법,ADHD 아동 지도방법,아동 지도방법 ADHD,3,1.0
KOHI 보건복지 북토크- 아이들의 눈으로 바라보기,KOHI 보건복지 북토크- 아이들의 눈으로 바라보기,보건복지 북토크 아이들의 눈으로 바라보기 KOHI,6,1.0
사회복무직무소양교육,사회복무직무소양교육,사회복무직 무소양교육,2,2.0
Level-Up간호실무,Level-Up간호실무,Level Up간호실무,2,2.0
보건사업 기획 이론과 실제(작성),보건사업 기획 이론과 실제(작성),보건사업 기획 이론과 실제 작성,5,1.25
보건사업기획이란 : 기획은 왜?,보건사업기획이란 : 기획은 왜?,보건사업기획이란 기획은 왜?,3,0.75
고질민원 응대스킬 up!,고질민원 응대스킬 up!,고질민원 응대스킬 up,3,1.0
미세먼지 바로알기,미세먼지 바로알기,미세먼지 바로알기,2,1.0
미세먼지와 건강,미세먼지와 건강,미세먼지와 건강,2,1.0
성과 향상을 위한 헬스커뮤니케이션 홍보전략,성과 향상을 위한 헬스커뮤니케이션 홍보전략,성과 향상을 위한 헬스커뮤니케이션 홍보전략,5,1.0
재가 암환자 건강관리,재가 암환자 건강관리,재가 암환자 건강관리,3,1.0
지역사회 자원연계 실제,지역사회 자원연계 실제,지역사회 자원연계 실제,3,1.0
지역사회 자원연계를 위한 통합적접근,지역사회 자원연계를 위한 통합적접근,지역사회 자원연계를 위한 통합적접근,4,1.0
지역사회 주민조직화 이해와 실천,지역사회 주민조직화 이해와 실천,지역사회 주민조직화 이해와 실천,4,1.0
북한이탈주민 건강관리,북한이탈주민 건강관리,북한이탈주민 건강관리,2,1.0
보건복지 우수사례를 찾아서- AI·IoT기반어르신건강관리편,보건복지 우수사례를 찾아서- AI·IoT기반어르신건강관리편,보건복지 우수사례를 찾아서 ·IoT기반어르신건강관리편 AI,5,1.25
보건소 ICT기술을 활용한 건강관리서비스 강화과정,보건소 ICT기술을 활용한 건강관리서비스 강화과정,보건소 기술을 활용한 건강관리서비스 강화 ICT,6,1.2
비만의 민족,비만의 민족,비만의 민족,2,1.0
연하곤란과 영양관리,연하곤란과 영양관리,연하곤란과 영양관리,2,1.0
푸드테라피로 챙기는 생활건강,푸드테라피로 챙기는 생활건강,푸드테라피로 챙기는 생활건강,3,1.0
건강증진사업전략수립(통합건강증진),건강증진사업전략수립(통합건강증진),건강증진사업전략수립 통합건강증진,2,2.0
고혈압당뇨질환별맞춤운동,고혈압당뇨질환별맞춤운동,고혈압당뇨질환별맞춤운동,1,1.0
국민건강증진종합계획(HP2030)의이해,국민건강증진종합계획(HP2030)의이해,국민건강증진종합계획 이해 HP2030,3,3.0
노인건강관리(만성질환관리),노인건강관리(만성질환관리),노인건강관리 만성질환관리,2,2.0
노인건강관리(신체활동),노인건강관리(신체활동),노인건강관리 신체활동,2,2.0
노인건강관리(영양),노인건강관리(영양),노인건강관리 영양,2,2.0
비대면모바일헬스케어를 이용한신체활동,비대면모바일헬스케어를 이용한신체활동,비대면모바일헬스케어를 이용한신체활동,2,1.0
생애주기별영양관리,생애주기별영양관리,생애주기별영양관리,1,1.0
생애주기별신체활동가이드,생애주기별신체활동가이드,생애주기별신체활동가이드,1,1.0
성인의심뇌혈관질환예방및관리(통합건강증진사업),성인의심뇌혈관질환예방및관리(통합건강증진사업),성인 심뇌혈관질환예방및관리 통합건강증진사업,3,3.0
쏙이해되는영양상담(통합건강증진사업),쏙이해되는영양상담(통합건강증진사업),쏙이해되는영양상담 통합건강증진사업,2,2.0
"언택트시대의고혈압당뇨환자관리, 심뇌혈관질환관리사업","언택트시대의고혈압당뇨환자관리, 심뇌혈관질환관리사업","언택트시대 고혈압당뇨환자관리, 심뇌혈관질환관리사업",3,1.5
"우리나라술, 그리고문화","우리나라술, 그리고문화","우리나라술, 그리고문화",2,1.0
음주폐해예방사업 바로알기,음주폐해예방사업 바로알기,음주폐해예방사업 바로알기,2,1.0
지역사회통합건강증진사업(심화)(통합건강증진),지역사회통합건강증진사업(심화)(통합건강증진),지역사회통합건강증진사업 심화 통합건강증진,3,3.0
통합건강증진사업수행사례,통합건강증진사업수행사례,통합건강증진사업수행사례,1,1.0
근골격계질환자를위한운동법,근골격계질환자를위한운동법,근골격계질환자 위한운동법,2,2.0
근골격계질환에대해바로알기,근골격계질환에대해바로알기,근골격계질환에대해바로알기,1,1.0
금연사업전문가,금연사업전문가,금연사업전문가,1,1.0
금연상담전문가,금연상담전문가,금연상담전문가,1,1.0
금연정책및법령의이해,금연정책및법령의이해,금연정책및법령 이해,2,2.0
노인구강건강관리,노인구강건강관리,노인구강건강관리,1,1.0
노인건강관리,노인건강관리,노인건강관리,1,1.0
방문건강관리사업의이해,방문건강관리사업의이해,방문건강 관리사업 이해,3,3.0
생애주기별한의약건강교육(영유아건강),생애주기별한의약건강교육(영유아건강),생애주기별한 약건강교육 영유아건강,3,3.0
생애주기별한의약건강교육(임산부건강),생애주기별한의약건강교육(임산부건강),생애주기별한 약건강교육 임산부건강,3,3.0
생애주기별구강건강관리,생애주기별구강건강관리,생애주기별구강건강관리,1,1.0
성인구강건강관리,성인구강건강관리,성인구강건강관리,1,1.0
소아아토피피부염제대로이해하기,소아아토피피부염제대로이해하기,소아아토피피부염제대로이해하기,1,1.0
아나필락시스이해및대응요령,아나필락시스이해및대응요령,아나필락시스 이해및대응요령,2,2.0
아동청소년구강건강관리,아동청소년구강건강관리,아동청소년 구강건강관리,2,2.0
알레르기질환바로알기(천식)편,알레르기질환바로알기(천식)편,알레르기질환바로알기편 천식,2,2.0
알레르기질환바로알기,알레르기질환바로알기,알레르기질환바로알기,1,1.0
임산부영유아구강건강관리,임산부영유아구강건강관리,임산부영유아구강건강관리,1,1.0
장애인구강건강관리,장애인구강건강관리,장애인구 강건강관리,2,2.0
정신건강관리와방문건강관리사업,정신건강관리와방문건강관리사업,정신건강관리 방문건강 관리사업,3,3.0
한방에푹빠진한방,한방에푹빠진한방,한방에푹 빠진한방,2,2.0
한의약건강증진사업생애주기별표준프로그램활용하기,한의약건강증진사업생애주기별표준프로그램활용하기,약건강증진사업생애주기별표준프로그램활용하기,1,1.0
한의약건강증진사업이해하기,한의약건강증진사업이해하기,약건강증진사업이해하기,1,1.0
흡연과태료감면제도가이드라인,흡연과태료감면제도가이드라인,흡연 태료감면제도가이드라인,2,2.0
통합건강증진지침교육,통합건강증진지침교육,통합건강증진지침교육,1,1.0
구강보건예방치의학의이해,구강보건예방치의학의이해,구강보건예방치의학 이해,2,2.0
디지털 인지행동치료를 적용한비만치료,디지털 인지행동치료를 적용한비만치료,디지털 인지행동치료를 적용한비만치료,3,1.0
"KOHI공개강의(LIVE명사특강쇼)-우울증,'내'책임아니고‘뇌'책임","KOHI공개강의(LIVE명사특강쇼)-우울증,'내'책임아니고‘뇌'책임","공개강의 우울증,'내'책임아니고‘뇌'책임 LIVE명사특강쇼 KOHI",4,4.0
KOHI보건복지북토크-마음의상처로 부터비상하다,KOHI보건복지북토크-마음의상처로 부터비상하다,보건복지 북토크 마음 상처로 부터비상하다 KOHI,6,3.0
바람직한임상적가치로서의인권,바람직한임상적가치로서의인권,바람직한임 상적가치로서 인권,3,3.0
"우울증, 알아봅시다","우울증, 알아봅시다","우울증, 알아봅시다",2,1.0
인권알기시리즈_역사로보는정신장애인의인권,인권알기시리즈_역사로보는정신장애인의인권,인권알기시리즈 역사로보는정신장애인 인권,3,3.0
자살예방기본교육,자살예방기본교육,자살예방 기본교육,2,2.0
정신건강상태를말하다,정신건강상태를말하다,정신건강상태 말하다,2,2.0
정신건강증진시설사례로본종사자의인권보호,정신건강증진시설사례로본종사자의인권보호,정신건강증진시설사례로본종사자 인권보호,2,2.0
지역사회정신건강(조현병중심으로),지역사회정신건강(조현병중심으로),지역사회정신건강 조현병중심으로,2,2.0
마음건강지킴이양성교육기본과정(입주민마음건강지원사업),마음건강지킴이양성교육기본과정(입주민마음건강지원사업),마음건강지킴 이양성교육기본 입주민마음건강지원사업,3,3.0
마음건강지킴이양성교육기본과정(정신건강정책과서비스),마음건강지킴이양성교육기본과정(정신건강정책과서비스),마음건강지킴 이양성교육기본 정신건강정책과서비스,3,3.0
마음건강지킴이양성교육기본과정(정신질환자의인권문제),마음건강지킴이양성교육기본과정(정신질환자의인권문제),마음건강지킴 이양성교육기본 정신질환자의인권문제,3,3.0
마음건강지킴이양성교육기본과정(정신질환의이해),마음건강지킴이양성교육기본과정(정신질환의이해),마음건강지킴 이양성교육기본 정신질환의이해,3,3.0
마음건강지킴이양성교육기본과정(자살예방및생명지킴이),마음건강지킴이양성교육기본과정(자살예방및생명지킴이),마음건강지킴 이양성교육기본 자살예방및생명지킴이,3,3.0
마음건강지킴이양성교육기본과정(정신건강위기개입),마음건강지킴이양성교육기본과정(정신건강위기개입),마음건강지킴 이양성교육기본 정신건강위기개입,3,3.0
마음건강지킴이양성교육기본과정(갈등관리및민원응대),마음건강지킴이양성교육기본과정(갈등관리및민원응대),마음건강지킴 이양성교육기본 갈등관리및민원응대,3,3.0
마음건강지킴이양성교육기본과정(지역사회자원연계),마음건강지킴이양성교육기본과정(지역사회자원연계),마음건강지킴 이양성교육기본 지역사회자원연계,3,3.0
마음건강지킴이양성교육기본과정(개인정보보호법),마음건강지킴이양성교육기본과정(개인정보보호법),마음건강지킴 이양성교육기본 개인정보보호법,3,3.0
